PHYSIO2BIDS -- 2018-11-01 14:55:42.545983
-------------------------------------------------
DICOM directory: /media/tarrlab/scenedata/5000Scenes/5000Scenes_fMRI_raw/CSI3/CSI3_sess03/	Physio directory: /media/tarrlab/scenedata/5000Scenes/5000Scenes_fMRI_raw/CSI3/CSI3_sess03/physio	Output directory: /media/tarrlab/scenedata2/5000_BIDS/sub-CSI3/ses-03/func
-------------------------------------------------
Conversion target: Physio_log_20171116_110551_1b5b7965-bbdc-4eb2-8a06-16dfc6950e4b.ext	MATCHED TO sub-CSI3_ses-03_task-5000scenes_run-04_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171116_110551_1b5b7965-bbdc-4eb2-8a06-16dfc6950e4b.resp	MATCHED TO sub-CSI3_ses-03_task-5000scenes_run-04_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171116_115712_24525321-ccb9-402c-9034-51635b59d51f.puls	MATCHED TO sub-CSI3_ses-03_task-5000scenes_run-10_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171116_113418_42e1e4ae-7135-4edc-a8ca-d729b120bc9d.resp	MATCHED TO sub-CSI3_ses-03_task-5000scenes_run-07_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171116_114200_ef603fe8-a22b-40ca-8c1b-6a34fcaa899a.ext	MATCHED TO sub-CSI3_ses-03_task-5000scenes_run-08_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171116_105037_7601d8a6-be77-41b0-a754-b755c5145c09.ext	MATCHED TO sub-CSI3_ses-03_task-5000scenes_run-02_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171116_111344_c94cbbbb-b897-4e2b-97c3-e370f7ed8434.ext	MATCHED TO sub-CSI3_ses-03_task-5000scenes_run-05_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171116_115712_24525321-ccb9-402c-9034-51635b59d51f.ext	MATCHED TO sub-CSI3_ses-03_task-5000scenes_run-10_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171116_105037_7601d8a6-be77-41b0-a754-b755c5145c09.puls	MATCHED TO sub-CSI3_ses-03_task-5000scenes_run-02_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171116_105037_7601d8a6-be77-41b0-a754-b755c5145c09.resp	MATCHED TO sub-CSI3_ses-03_task-5000scenes_run-02_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171116_111344_c94cbbbb-b897-4e2b-97c3-e370f7ed8434.puls	MATCHED TO sub-CSI3_ses-03_task-5000scenes_run-05_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171116_105812_26f0bb3b-bd55-4b96-a463-3f516aab05b5.resp	MATCHED TO sub-CSI3_ses-03_task-5000scenes_run-03_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171116_104226_952155a7-9418-49bf-a8be-d75035b4ac09.resp	MATCHED TO sub-CSI3_ses-03_task-5000scenes_run-01_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171116_113418_42e1e4ae-7135-4edc-a8ca-d729b120bc9d.puls	MATCHED TO sub-CSI3_ses-03_task-5000scenes_run-07_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171116_112554_9465d97e-c638-419b-a5b4-745d4744f7f8.resp	MATCHED TO sub-CSI3_ses-03_task-5000scenes_run-06_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171116_112554_9465d97e-c638-419b-a5b4-745d4744f7f8.ext	MATCHED TO sub-CSI3_ses-03_task-5000scenes_run-06_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171116_110551_1b5b7965-bbdc-4eb2-8a06-16dfc6950e4b.puls	MATCHED TO sub-CSI3_ses-03_task-5000scenes_run-04_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171116_113418_42e1e4ae-7135-4edc-a8ca-d729b120bc9d.ext	MATCHED TO sub-CSI3_ses-03_task-5000scenes_run-07_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171116_111344_c94cbbbb-b897-4e2b-97c3-e370f7ed8434.resp	MATCHED TO sub-CSI3_ses-03_task-5000scenes_run-05_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171116_104226_952155a7-9418-49bf-a8be-d75035b4ac09.puls	MATCHED TO sub-CSI3_ses-03_task-5000scenes_run-01_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171116_105812_26f0bb3b-bd55-4b96-a463-3f516aab05b5.puls	MATCHED TO sub-CSI3_ses-03_task-5000scenes_run-03_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171116_115712_24525321-ccb9-402c-9034-51635b59d51f.resp	MATCHED TO sub-CSI3_ses-03_task-5000scenes_run-10_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171116_112554_9465d97e-c638-419b-a5b4-745d4744f7f8.puls	MATCHED TO sub-CSI3_ses-03_task-5000scenes_run-06_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171116_114951_ec10282a-31f1-4ecf-89eb-7278237bb414.resp	MATCHED TO sub-CSI3_ses-03_task-5000scenes_run-09_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171116_105812_26f0bb3b-bd55-4b96-a463-3f516aab05b5.ext	MATCHED TO sub-CSI3_ses-03_task-5000scenes_run-03_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171116_114200_ef603fe8-a22b-40ca-8c1b-6a34fcaa899a.resp	MATCHED TO sub-CSI3_ses-03_task-5000scenes_run-08_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171116_104226_952155a7-9418-49bf-a8be-d75035b4ac09.ext	MATCHED TO sub-CSI3_ses-03_task-5000scenes_run-01_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171116_114951_ec10282a-31f1-4ecf-89eb-7278237bb414.puls	MATCHED TO sub-CSI3_ses-03_task-5000scenes_run-09_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171116_114200_ef603fe8-a22b-40ca-8c1b-6a34fcaa899a.puls	MATCHED TO sub-CSI3_ses-03_task-5000scenes_run-08_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171116_114951_ec10282a-31f1-4ecf-89eb-7278237bb414.ext	MATCHED TO sub-CSI3_ses-03_task-5000scenes_run-09_recording-trigger_physio	CONVERTED FILES WRITTEN
