PHYSIO2BIDS -- 2018-11-01 14:55:44.689305
-------------------------------------------------
DICOM directory: /media/tarrlab/scenedata/5000Scenes/5000Scenes_fMRI_raw/CSI3/CSI3_sess05/	Physio directory: /media/tarrlab/scenedata/5000Scenes/5000Scenes_fMRI_raw/CSI3/CSI3_sess05/physio	Output directory: /media/tarrlab/scenedata2/5000_BIDS/sub-CSI3/ses-05/func
-------------------------------------------------
Conversion target: Physio_log_20171128_173530_950c1acc-c0ae-4d25-9571-5819fbdcbd63.puls	MATCHED TO sub-CSI3_ses-05_task-5000scenes_run-08_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171128_173530_950c1acc-c0ae-4d25-9571-5819fbdcbd63.resp	MATCHED TO sub-CSI3_ses-05_task-5000scenes_run-08_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171128_170741_62f85976-c464-4bb7-8b8a-9f1596223687.resp	MATCHED TO sub-CSI3_ses-05_task-5000scenes_run-05_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171128_163720_29145a3d-6e1e-4b5c-b5ef-ea637f78afbd.resp	MATCHED TO sub-CSI3_ses-05_task-5000scenes_run-01_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171128_170001_d4cb28e9-9529-4ca9-990e-227a9fdd9b4d.puls	MATCHED TO sub-CSI3_ses-05_task-5000scenes_run-04_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171128_172755_88d7dc54-16bd-4bd9-a44d-f4d352680d8b.puls	MATCHED TO sub-CSI3_ses-05_task-5000scenes_run-07_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171128_174302_b9a15985-c801-442a-a7af-f33ca83942bb.puls	MATCHED TO sub-CSI3_ses-05_task-5000scenes_run-09_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171128_164455_b3102761-338a-465d-adcd-a8076340993e.resp	MATCHED TO sub-CSI3_ses-05_task-5000scenes_run-02_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171128_171957_85e598bf-11c1-431f-a393-2ed4f8974203.resp	MATCHED TO sub-CSI3_ses-05_task-5000scenes_run-06_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171128_170741_62f85976-c464-4bb7-8b8a-9f1596223687.ext	MATCHED TO sub-CSI3_ses-05_task-5000scenes_run-05_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171128_171957_85e598bf-11c1-431f-a393-2ed4f8974203.ext	MATCHED TO sub-CSI3_ses-05_task-5000scenes_run-06_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171128_163720_29145a3d-6e1e-4b5c-b5ef-ea637f78afbd.puls	MATCHED TO sub-CSI3_ses-05_task-5000scenes_run-01_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171128_172755_88d7dc54-16bd-4bd9-a44d-f4d352680d8b.resp	MATCHED TO sub-CSI3_ses-05_task-5000scenes_run-07_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171128_175034_f4c0d15f-c4c5-412e-b6f5-3afd67f8ddae.ext	MATCHED TO sub-CSI3_ses-05_task-5000scenes_run-10_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171128_170001_d4cb28e9-9529-4ca9-990e-227a9fdd9b4d.resp	MATCHED TO sub-CSI3_ses-05_task-5000scenes_run-04_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171128_174302_b9a15985-c801-442a-a7af-f33ca83942bb.resp	MATCHED TO sub-CSI3_ses-05_task-5000scenes_run-09_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171128_170741_62f85976-c464-4bb7-8b8a-9f1596223687.puls	MATCHED TO sub-CSI3_ses-05_task-5000scenes_run-05_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171128_164455_b3102761-338a-465d-adcd-a8076340993e.puls	MATCHED TO sub-CSI3_ses-05_task-5000scenes_run-02_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171128_163720_29145a3d-6e1e-4b5c-b5ef-ea637f78afbd.ext	MATCHED TO sub-CSI3_ses-05_task-5000scenes_run-01_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171128_170001_d4cb28e9-9529-4ca9-990e-227a9fdd9b4d.ext	MATCHED TO sub-CSI3_ses-05_task-5000scenes_run-04_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171128_165223_0ae02aeb-53b4-4fa4-9fe7-ae9607582d93.resp	MATCHED TO sub-CSI3_ses-05_task-5000scenes_run-03_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171128_173530_950c1acc-c0ae-4d25-9571-5819fbdcbd63.ext	MATCHED TO sub-CSI3_ses-05_task-5000scenes_run-08_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171128_165223_0ae02aeb-53b4-4fa4-9fe7-ae9607582d93.ext	MATCHED TO sub-CSI3_ses-05_task-5000scenes_run-03_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171128_165223_0ae02aeb-53b4-4fa4-9fe7-ae9607582d93.puls	MATCHED TO sub-CSI3_ses-05_task-5000scenes_run-03_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171128_175034_f4c0d15f-c4c5-412e-b6f5-3afd67f8ddae.puls	MATCHED TO sub-CSI3_ses-05_task-5000scenes_run-10_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171128_171957_85e598bf-11c1-431f-a393-2ed4f8974203.puls	MATCHED TO sub-CSI3_ses-05_task-5000scenes_run-06_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171128_175034_f4c0d15f-c4c5-412e-b6f5-3afd67f8ddae.resp	MATCHED TO sub-CSI3_ses-05_task-5000scenes_run-10_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171128_174302_b9a15985-c801-442a-a7af-f33ca83942bb.ext	MATCHED TO sub-CSI3_ses-05_task-5000scenes_run-09_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171128_172755_88d7dc54-16bd-4bd9-a44d-f4d352680d8b.ext	MATCHED TO sub-CSI3_ses-05_task-5000scenes_run-07_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171128_164455_b3102761-338a-465d-adcd-a8076340993e.ext	MATCHED TO sub-CSI3_ses-05_task-5000scenes_run-02_recording-trigger_physio	CONVERTED FILES WRITTEN
