PHYSIO2BIDS -- 2018-11-01 14:55:38.263249
-------------------------------------------------
DICOM directory: /media/tarrlab/scenedata/5000Scenes/5000Scenes_fMRI_raw/CSI2/CSI2_sess14/	Physio directory: /media/tarrlab/scenedata/5000Scenes/5000Scenes_fMRI_raw/CSI2/CSI2_sess14/physio	Output directory: /media/tarrlab/scenedata2/5000_BIDS/sub-CSI2/ses-14/func
-------------------------------------------------
Conversion target: Physio_log_20180118_135059_79f65183-8cae-45b6-9abb-6e5948b75768.puls	MATCHED TO sub-CSI2_ses-14_task-5000scenes_run-07_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20180118_130752_479a9317-a828-4ae2-9354-1be5e49c6178.resp	MATCHED TO sub-CSI2_ses-14_task-5000scenes_run-02_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20180118_134238_c497c895-90e8-4514-a4ba-9ee6c2ea0c95.ext	MATCHED TO sub-CSI2_ses-14_task-5000scenes_run-06_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20180118_130752_479a9317-a828-4ae2-9354-1be5e49c6178.ext	MATCHED TO sub-CSI2_ses-14_task-5000scenes_run-02_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20180118_141406_c854f105-f6ff-4bcc-91c5-17a13aea6468.puls	MATCHED TO sub-CSI2_ses-14_task-5000scenes_run-10_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20180118_130752_479a9317-a828-4ae2-9354-1be5e49c6178.puls	MATCHED TO sub-CSI2_ses-14_task-5000scenes_run-02_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20180118_140644_26a98d2f-e7e6-4ba6-bac2-b34261241c99.resp	MATCHED TO sub-CSI2_ses-14_task-5000scenes_run-09_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20180118_131514_28c9d1dc-680e-4e7a-934d-976179ee9ee9.puls	MATCHED TO sub-CSI2_ses-14_task-5000scenes_run-03_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20180118_135059_79f65183-8cae-45b6-9abb-6e5948b75768.ext	MATCHED TO sub-CSI2_ses-14_task-5000scenes_run-07_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20180118_133007_add0f82e-bda9-4e8a-8cfb-9fbbbddd975e.resp	MATCHED TO sub-CSI2_ses-14_task-5000scenes_run-05_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20180118_125957_02446333-de7e-4719-8be4-15af2d7de434.ext	MATCHED TO sub-CSI2_ses-14_task-5000scenes_run-01_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20180118_125957_02446333-de7e-4719-8be4-15af2d7de434.resp	MATCHED TO sub-CSI2_ses-14_task-5000scenes_run-01_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20180118_125957_02446333-de7e-4719-8be4-15af2d7de434.puls	MATCHED TO sub-CSI2_ses-14_task-5000scenes_run-01_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20180118_134238_c497c895-90e8-4514-a4ba-9ee6c2ea0c95.resp	MATCHED TO sub-CSI2_ses-14_task-5000scenes_run-06_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20180118_131514_28c9d1dc-680e-4e7a-934d-976179ee9ee9.ext	MATCHED TO sub-CSI2_ses-14_task-5000scenes_run-03_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20180118_141406_c854f105-f6ff-4bcc-91c5-17a13aea6468.ext	MATCHED TO sub-CSI2_ses-14_task-5000scenes_run-10_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20180118_135904_9efd03e4-5438-4b64-842e-64a1a3e36060.ext	MATCHED TO sub-CSI2_ses-14_task-5000scenes_run-08_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20180118_131514_28c9d1dc-680e-4e7a-934d-976179ee9ee9.resp	MATCHED TO sub-CSI2_ses-14_task-5000scenes_run-03_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20180118_132235_75a49efa-5978-4c7a-bd5a-a18b5c210efa.resp	MATCHED TO sub-CSI2_ses-14_task-5000scenes_run-04_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20180118_140644_26a98d2f-e7e6-4ba6-bac2-b34261241c99.ext	MATCHED TO sub-CSI2_ses-14_task-5000scenes_run-09_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20180118_133007_add0f82e-bda9-4e8a-8cfb-9fbbbddd975e.puls	MATCHED TO sub-CSI2_ses-14_task-5000scenes_run-05_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20180118_135904_9efd03e4-5438-4b64-842e-64a1a3e36060.resp	MATCHED TO sub-CSI2_ses-14_task-5000scenes_run-08_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20180118_133007_add0f82e-bda9-4e8a-8cfb-9fbbbddd975e.ext	MATCHED TO sub-CSI2_ses-14_task-5000scenes_run-05_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20180118_135904_9efd03e4-5438-4b64-842e-64a1a3e36060.puls	MATCHED TO sub-CSI2_ses-14_task-5000scenes_run-08_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20180118_140644_26a98d2f-e7e6-4ba6-bac2-b34261241c99.puls	MATCHED TO sub-CSI2_ses-14_task-5000scenes_run-09_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20180118_141406_c854f105-f6ff-4bcc-91c5-17a13aea6468.resp	MATCHED TO sub-CSI2_ses-14_task-5000scenes_run-10_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20180118_132235_75a49efa-5978-4c7a-bd5a-a18b5c210efa.ext	MATCHED TO sub-CSI2_ses-14_task-5000scenes_run-04_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20180118_135059_79f65183-8cae-45b6-9abb-6e5948b75768.resp	MATCHED TO sub-CSI2_ses-14_task-5000scenes_run-07_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20180118_132235_75a49efa-5978-4c7a-bd5a-a18b5c210efa.puls	MATCHED TO sub-CSI2_ses-14_task-5000scenes_run-04_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20180118_134238_c497c895-90e8-4514-a4ba-9ee6c2ea0c95.puls	MATCHED TO sub-CSI2_ses-14_task-5000scenes_run-06_recording-cardiac_physio	CONVERTED FILES WRITTEN
