PHYSIO2BIDS -- 2018-11-01 14:55:58.807816
-------------------------------------------------
DICOM directory: /media/tarrlab/scenedata/5000Scenes/5000Scenes_fMRI_raw/CSI4/CSI4_sess04/	Physio directory: /media/tarrlab/scenedata/5000Scenes/5000Scenes_fMRI_raw/CSI4/CSI4_sess04/physio	Output directory: /media/tarrlab/scenedata2/5000_BIDS/sub-CSI4/ses-04/func
-------------------------------------------------
Conversion target: Physio_log_20171201_105953_37c43202-4a6e-4fc2-83da-a4658e66b1be.resp	MATCHED TO sub-CSI4_ses-04_task-5000scenes_run-08_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171201_100053_18e2a1b8-95f9-472e-abd5-dfa2b0ab8a0d.resp	MATCHED TO sub-CSI4_ses-04_task-5000scenes_run-01_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171201_111606_cf8b589a-951d-43a8-97aa-8841018266d4.ext	MATCHED TO sub-CSI4_ses-04_task-5000scenes_run-10_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171201_103110_edd7f665-cb15-4cac-9ac7-101bb0fc7d11.puls	MATCHED TO sub-CSI4_ses-04_task-5000scenes_run-05_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171201_100053_18e2a1b8-95f9-472e-abd5-dfa2b0ab8a0d.ext	MATCHED TO sub-CSI4_ses-04_task-5000scenes_run-01_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171201_104323_31183001-3c9a-4d44-add8-63059601a16d.resp	MATCHED TO sub-CSI4_ses-04_task-5000scenes_run-06_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171201_110731_1cdf941a-986c-48f9-94a0-badbbe283122.ext	MATCHED TO sub-CSI4_ses-04_task-5000scenes_run-09_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171201_110731_1cdf941a-986c-48f9-94a0-badbbe283122.resp	MATCHED TO sub-CSI4_ses-04_task-5000scenes_run-09_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171201_100053_18e2a1b8-95f9-472e-abd5-dfa2b0ab8a0d.puls	MATCHED TO sub-CSI4_ses-04_task-5000scenes_run-01_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171201_100836_b3ff2e0e-e8a5-487c-a945-334a925e5752.puls	MATCHED TO sub-CSI4_ses-04_task-5000scenes_run-02_recording-cardiac_physio	CONVERTED FILES WRITTEN
