PHYSIO2BIDS -- 2018-11-01 14:55:20.797475
-------------------------------------------------
DICOM directory: /media/tarrlab/scenedata/5000Scenes/5000Scenes_fMRI_raw/CSI1/CSI1_sess12/	Physio directory: /media/tarrlab/scenedata/5000Scenes/5000Scenes_fMRI_raw/CSI1/CSI1_sess12/physio	Output directory: /media/tarrlab/scenedata2/5000_BIDS/sub-CSI1/ses-12/func
-------------------------------------------------
Conversion target: Physio_log_20171212_124217_168bb30b-156a-4d7c-803f-11c8629c6cc0.resp	MATCHED TO sub-CSI1_ses-12_task-5000scenes_run-09_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171212_120638_94c8e1a9-2f00-49c6-98bd-fbe23da78fd4.resp	MATCHED TO sub-CSI1_ses-12_task-5000scenes_run-05_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171212_113417_e65d392d-5328-43cb-b680-e9b9aff0106a.ext	MATCHED TO sub-CSI1_ses-12_task-5000scenes_run-01_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171212_125017_1e589741-446a-4ecd-b5fc-42ac68db0437.puls	MATCHED TO sub-CSI1_ses-12_task-localizer__recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171212_120638_94c8e1a9-2f00-49c6-98bd-fbe23da78fd4.ext	MATCHED TO sub-CSI1_ses-12_task-5000scenes_run-05_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171212_114321_44fd59a2-e66c-4c82-b80d-bab7e7da89fb.resp	MATCHED TO sub-CSI1_ses-12_task-5000scenes_run-02_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171212_114321_44fd59a2-e66c-4c82-b80d-bab7e7da89fb.ext	MATCHED TO sub-CSI1_ses-12_task-5000scenes_run-02_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171212_121857_f60c28d4-a16b-4fb0-bbe2-fd94817dc0fb.resp	MATCHED TO sub-CSI1_ses-12_task-5000scenes_run-06_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171212_125017_1e589741-446a-4ecd-b5fc-42ac68db0437.ext	MATCHED TO sub-CSI1_ses-12_task-localizer__recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171212_122651_b56b1cc2-37e5-4da6-976f-8d5fecb0d57d.resp	MATCHED TO sub-CSI1_ses-12_task-5000scenes_run-07_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171212_114321_44fd59a2-e66c-4c82-b80d-bab7e7da89fb.puls	MATCHED TO sub-CSI1_ses-12_task-5000scenes_run-02_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171212_122651_b56b1cc2-37e5-4da6-976f-8d5fecb0d57d.ext	MATCHED TO sub-CSI1_ses-12_task-5000scenes_run-07_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171212_115106_385f3535-671a-442d-8157-1ea594309ee3.ext	MATCHED TO sub-CSI1_ses-12_task-5000scenes_run-03_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171212_123435_8dcc06ca-e91d-4167-b482-a029f5b7ff02.resp	MATCHED TO sub-CSI1_ses-12_task-5000scenes_run-08_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171212_115857_9052202c-2248-400a-980a-29d6fee26c03.puls	MATCHED TO sub-CSI1_ses-12_task-5000scenes_run-04_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171212_121857_f60c28d4-a16b-4fb0-bbe2-fd94817dc0fb.puls	MATCHED TO sub-CSI1_ses-12_task-5000scenes_run-06_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171212_115857_9052202c-2248-400a-980a-29d6fee26c03.resp	MATCHED TO sub-CSI1_ses-12_task-5000scenes_run-04_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171212_124217_168bb30b-156a-4d7c-803f-11c8629c6cc0.puls	MATCHED TO sub-CSI1_ses-12_task-5000scenes_run-09_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171212_115857_9052202c-2248-400a-980a-29d6fee26c03.ext	MATCHED TO sub-CSI1_ses-12_task-5000scenes_run-04_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171212_115106_385f3535-671a-442d-8157-1ea594309ee3.resp	MATCHED TO sub-CSI1_ses-12_task-5000scenes_run-03_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171212_115106_385f3535-671a-442d-8157-1ea594309ee3.puls	MATCHED TO sub-CSI1_ses-12_task-5000scenes_run-03_recording-cardiac_physio	CONVERTED FILES WRITTEN
