PHYSIO2BIDS -- 2018-11-01 14:55:09.889959
-------------------------------------------------
DICOM directory: /media/tarrlab/scenedata/5000Scenes/5000Scenes_fMRI_raw/CSI1/CSI1_sess02/	Physio directory: /media/tarrlab/scenedata/5000Scenes/5000Scenes_fMRI_raw/CSI1/CSI1_sess02/physio	Output directory: /media/tarrlab/scenedata2/5000_BIDS/sub-CSI1/ses-02/func
-------------------------------------------------
Conversion target: Physio_log_20171102_133521_048ad48e-0445-4386-845d-a2174d1d3359.ext	MATCHED TO sub-CSI1_ses-02_task-5000scenes_run-08_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171102_124304_4d8a6833-3af2-4d73-a3c1-262ad8d2ee95.resp	MATCHED TO sub-CSI1_ses-02_task-5000scenes_run-02_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171102_132730_a147740e-8028-4b25-8c77-ea0cac027758.ext	MATCHED TO sub-CSI1_ses-02_task-5000scenes_run-07_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171102_125832_f9e0aefc-d013-4d7a-8e39-b76210718e51.puls	MATCHED TO sub-CSI1_ses-02_task-5000scenes_run-04_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171102_135050_cbb713f4-1861-43c2-b5f9-1c8ebb88920f.resp	MATCHED TO sub-CSI1_ses-02_task-5000scenes_run-10_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171102_132730_a147740e-8028-4b25-8c77-ea0cac027758.puls	MATCHED TO sub-CSI1_ses-02_task-5000scenes_run-07_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171102_123508_3904b05f-02ab-4ee7-9dd4-78a614d39455.puls	MATCHED TO sub-CSI1_ses-02_task-5000scenes_run-01_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171102_131920_a1553c38-46f0-44e3-b7f4-570435b3cc03.resp	MATCHED TO sub-CSI1_ses-02_task-5000scenes_run-06_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171102_134308_c4b0c55e-fc59-4e08-bcaa-6e8633dce4a0.ext	MATCHED TO sub-CSI1_ses-02_task-5000scenes_run-09_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171102_131920_a1553c38-46f0-44e3-b7f4-570435b3cc03.puls	MATCHED TO sub-CSI1_ses-02_task-5000scenes_run-06_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171102_134308_c4b0c55e-fc59-4e08-bcaa-6e8633dce4a0.puls	MATCHED TO sub-CSI1_ses-02_task-5000scenes_run-09_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171102_123508_3904b05f-02ab-4ee7-9dd4-78a614d39455.ext	MATCHED TO sub-CSI1_ses-02_task-5000scenes_run-01_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171102_130613_212f4ca3-533d-4944-ba3d-d49cde89d54b.puls	MATCHED TO sub-CSI1_ses-02_task-5000scenes_run-05_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171102_125053_2cfad758-e502-41de-9cd7-4f8e798a9ff8.puls	MATCHED TO sub-CSI1_ses-02_task-5000scenes_run-03_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171102_124304_4d8a6833-3af2-4d73-a3c1-262ad8d2ee95.ext	MATCHED TO sub-CSI1_ses-02_task-5000scenes_run-02_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171102_135050_cbb713f4-1861-43c2-b5f9-1c8ebb88920f.ext	MATCHED TO sub-CSI1_ses-02_task-5000scenes_run-10_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171102_130613_212f4ca3-533d-4944-ba3d-d49cde89d54b.ext	MATCHED TO sub-CSI1_ses-02_task-5000scenes_run-05_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171102_125832_f9e0aefc-d013-4d7a-8e39-b76210718e51.resp	MATCHED TO sub-CSI1_ses-02_task-5000scenes_run-04_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171102_133521_048ad48e-0445-4386-845d-a2174d1d3359.resp	MATCHED TO sub-CSI1_ses-02_task-5000scenes_run-08_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171102_134308_c4b0c55e-fc59-4e08-bcaa-6e8633dce4a0.resp	MATCHED TO sub-CSI1_ses-02_task-5000scenes_run-09_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171102_123508_3904b05f-02ab-4ee7-9dd4-78a614d39455.resp	MATCHED TO sub-CSI1_ses-02_task-5000scenes_run-01_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171102_132730_a147740e-8028-4b25-8c77-ea0cac027758.resp	MATCHED TO sub-CSI1_ses-02_task-5000scenes_run-07_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171102_125053_2cfad758-e502-41de-9cd7-4f8e798a9ff8.ext	MATCHED TO sub-CSI1_ses-02_task-5000scenes_run-03_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171102_133521_048ad48e-0445-4386-845d-a2174d1d3359.puls	MATCHED TO sub-CSI1_ses-02_task-5000scenes_run-08_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171102_125053_2cfad758-e502-41de-9cd7-4f8e798a9ff8.resp	MATCHED TO sub-CSI1_ses-02_task-5000scenes_run-03_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171102_135050_cbb713f4-1861-43c2-b5f9-1c8ebb88920f.puls	MATCHED TO sub-CSI1_ses-02_task-5000scenes_run-10_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171102_124304_4d8a6833-3af2-4d73-a3c1-262ad8d2ee95.puls	MATCHED TO sub-CSI1_ses-02_task-5000scenes_run-02_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171102_125832_f9e0aefc-d013-4d7a-8e39-b76210718e51.ext	MATCHED TO sub-CSI1_ses-02_task-5000scenes_run-04_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171102_130613_212f4ca3-533d-4944-ba3d-d49cde89d54b.resp	MATCHED TO sub-CSI1_ses-02_task-5000scenes_run-05_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171102_131920_a1553c38-46f0-44e3-b7f4-570435b3cc03.ext	MATCHED TO sub-CSI1_ses-02_task-5000scenes_run-06_recording-trigger_physio	CONVERTED FILES WRITTEN
