PHYSIO2BIDS -- 2018-11-01 14:55:46.873973
-------------------------------------------------
DICOM directory: /media/tarrlab/scenedata/5000Scenes/5000Scenes_fMRI_raw/CSI3/CSI3_sess07/	Physio directory: /media/tarrlab/scenedata/5000Scenes/5000Scenes_fMRI_raw/CSI3/CSI3_sess07/physio	Output directory: /media/tarrlab/scenedata2/5000_BIDS/sub-CSI3/ses-07/func
-------------------------------------------------
Conversion target: Physio_log_20171208_105424_0163fb21-0d62-4ca2-817c-ec72df6edb43.resp	MATCHED TO sub-CSI3_ses-07_task-5000scenes_run-09_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171208_102156_6b81b3b7-d7d7-4086-8703-042975f6e95d.ext	MATCHED TO sub-CSI3_ses-07_task-5000scenes_run-06_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171208_110217_87bb983a-2ccb-43d6-b4da-9ead0fb4e8c8.ext	MATCHED TO sub-CSI3_ses-07_task-5000scenes_run-10_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171208_095405_0702f5f0-a451-4b38-bf21-c066f5eaaa9d.ext	MATCHED TO sub-CSI3_ses-07_task-5000scenes_run-03_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171208_100138_c81b5932-8e4b-44d6-8981-84578b823ce9.resp	MATCHED TO sub-CSI3_ses-07_task-5000scenes_run-04_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171208_110217_87bb983a-2ccb-43d6-b4da-9ead0fb4e8c8.resp	MATCHED TO sub-CSI3_ses-07_task-5000scenes_run-10_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171208_104432_67ac808c-1ff9-4af8-888f-da0838e1dc9a.puls	MATCHED TO sub-CSI3_ses-07_task-5000scenes_run-08_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171208_105424_0163fb21-0d62-4ca2-817c-ec72df6edb43.puls	MATCHED TO sub-CSI3_ses-07_task-5000scenes_run-09_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171208_103050_6a820ca2-80a1-4bbd-8ebb-e3e091a1a42d.ext	MATCHED TO sub-CSI3_ses-07_task-5000scenes_run-07_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171208_102156_6b81b3b7-d7d7-4086-8703-042975f6e95d.puls	MATCHED TO sub-CSI3_ses-07_task-5000scenes_run-06_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171208_095405_0702f5f0-a451-4b38-bf21-c066f5eaaa9d.resp	MATCHED TO sub-CSI3_ses-07_task-5000scenes_run-03_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171208_100925_aeb46dc7-9850-4e34-8b87-fc937b83e2b9.ext	MATCHED TO sub-CSI3_ses-07_task-5000scenes_run-05_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171208_105424_0163fb21-0d62-4ca2-817c-ec72df6edb43.ext	MATCHED TO sub-CSI3_ses-07_task-5000scenes_run-09_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171208_102156_6b81b3b7-d7d7-4086-8703-042975f6e95d.resp	MATCHED TO sub-CSI3_ses-07_task-5000scenes_run-06_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171208_094629_3555d266-7eaf-47eb-b666-f6f2418fbd18.puls	MATCHED TO sub-CSI3_ses-07_task-5000scenes_run-02_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171208_093840_57c7733f-93d1-46c0-a88f-90462725bd2f.ext	MATCHED TO sub-CSI3_ses-07_task-5000scenes_run-01_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171208_110217_87bb983a-2ccb-43d6-b4da-9ead0fb4e8c8.puls	MATCHED TO sub-CSI3_ses-07_task-5000scenes_run-10_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171208_095405_0702f5f0-a451-4b38-bf21-c066f5eaaa9d.puls	MATCHED TO sub-CSI3_ses-07_task-5000scenes_run-03_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171208_093840_57c7733f-93d1-46c0-a88f-90462725bd2f.resp	MATCHED TO sub-CSI3_ses-07_task-5000scenes_run-01_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171208_103050_6a820ca2-80a1-4bbd-8ebb-e3e091a1a42d.resp	MATCHED TO sub-CSI3_ses-07_task-5000scenes_run-07_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171208_094629_3555d266-7eaf-47eb-b666-f6f2418fbd18.resp	MATCHED TO sub-CSI3_ses-07_task-5000scenes_run-02_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171208_103050_6a820ca2-80a1-4bbd-8ebb-e3e091a1a42d.puls	MATCHED TO sub-CSI3_ses-07_task-5000scenes_run-07_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171208_094629_3555d266-7eaf-47eb-b666-f6f2418fbd18.ext	MATCHED TO sub-CSI3_ses-07_task-5000scenes_run-02_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171208_100138_c81b5932-8e4b-44d6-8981-84578b823ce9.puls	MATCHED TO sub-CSI3_ses-07_task-5000scenes_run-04_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171208_100925_aeb46dc7-9850-4e34-8b87-fc937b83e2b9.puls	MATCHED TO sub-CSI3_ses-07_task-5000scenes_run-05_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171208_104432_67ac808c-1ff9-4af8-888f-da0838e1dc9a.ext	MATCHED TO sub-CSI3_ses-07_task-5000scenes_run-08_recording-trigger_physio	CONVERTED FILES WRITTEN
