PHYSIO2BIDS -- 2018-11-01 14:55:33.996111
-------------------------------------------------
DICOM directory: /media/tarrlab/scenedata/5000Scenes/5000Scenes_fMRI_raw/CSI2/CSI2_sess10/	Physio directory: /media/tarrlab/scenedata/5000Scenes/5000Scenes_fMRI_raw/CSI2/CSI2_sess10/physio	Output directory: /media/tarrlab/scenedata2/5000_BIDS/sub-CSI2/ses-10/func
-------------------------------------------------
Conversion target: Physio_log_20171212_144807_fe31ae86-8bc2-45d9-a464-29dfc5155aef.puls	MATCHED TO sub-CSI2_ses-10_task-5000scenes_run-03_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171212_153313_427be306-ca9e-4c54-b9b3-4d6b87e56b1d.ext	MATCHED TO sub-CSI2_ses-10_task-5000scenes_run-08_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171212_144807_fe31ae86-8bc2-45d9-a464-29dfc5155aef.ext	MATCHED TO sub-CSI2_ses-10_task-5000scenes_run-03_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171212_145622_45eb5548-45b3-4db8-a074-3ebd84e3db29.puls	MATCHED TO sub-CSI2_ses-10_task-5000scenes_run-04_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171212_154048_ad52646d-ac74-4f73-8fc1-34a3ffd1f4a3.resp	MATCHED TO sub-CSI2_ses-10_task-5000scenes_run-09_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171212_151647_11c7422b-91a5-4e2e-ac35-d44d6336c9bc.ext	MATCHED TO sub-CSI2_ses-10_task-5000scenes_run-06_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171212_150421_c8835fa6-d20f-49f9-84ad-aa2382ae6d2e.puls	MATCHED TO sub-CSI2_ses-10_task-5000scenes_run-05_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171212_143958_9f923150-7eea-4d65-b08b-6a4e04dba002.ext	MATCHED TO sub-CSI2_ses-10_task-5000scenes_run-02_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171212_154828_1b84a6b2-3c97-46a5-b66a-6616993a6ead.resp	MATCHED TO sub-CSI2_ses-10_task-localizer__recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171212_143958_9f923150-7eea-4d65-b08b-6a4e04dba002.puls	MATCHED TO sub-CSI2_ses-10_task-5000scenes_run-02_recording-cardiac_physio	CONVERTED FILES WRITTEN
