PHYSIO2BIDS -- 2018-11-01 14:55:54.352929
-------------------------------------------------
DICOM directory: /media/tarrlab/scenedata/5000Scenes/5000Scenes_fMRI_raw/CSI3/CSI3_sess14/	Physio directory: /media/tarrlab/scenedata/5000Scenes/5000Scenes_fMRI_raw/CSI3/CSI3_sess14/physio	Output directory: /media/tarrlab/scenedata2/5000_BIDS/sub-CSI3/ses-14/func
-------------------------------------------------
Conversion target: Physio_log_20180207_174342_295370b9-f0fb-4137-b4a0-205af4710cb1.resp	MATCHED TO sub-CSI3_ses-14_task-5000scenes_run-08_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20180207_165852_8900a5ee-da7d-48c5-bff5-b94b4db6f055.ext	MATCHED TO sub-CSI3_ses-14_task-5000scenes_run-03_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20180207_175940_efcb9b49-df3e-4b3a-ae64-168cd0f57ce1.resp	MATCHED TO sub-CSI3_ses-14_task-localizer__recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20180207_164322_241fd896-d36b-4601-a495-a8c880c9fa4a.ext	MATCHED TO sub-CSI3_ses-14_task-5000scenes_run-01_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20180207_165114_c89fd764-e1bb-4039-bf8b-8ad7643389b3.resp	MATCHED TO sub-CSI3_ses-14_task-5000scenes_run-02_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20180207_173600_452d6607-9bee-4d13-8203-ab651e6c2019.resp	MATCHED TO sub-CSI3_ses-14_task-5000scenes_run-07_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20180207_170626_bef9d94d-0077-4e92-b34c-8a0fc8d6acc6.ext	MATCHED TO sub-CSI3_ses-14_task-5000scenes_run-04_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20180207_165114_c89fd764-e1bb-4039-bf8b-8ad7643389b3.ext	MATCHED TO sub-CSI3_ses-14_task-5000scenes_run-02_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20180207_165852_8900a5ee-da7d-48c5-bff5-b94b4db6f055.puls	MATCHED TO sub-CSI3_ses-14_task-5000scenes_run-03_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20180207_164322_241fd896-d36b-4601-a495-a8c880c9fa4a.resp	MATCHED TO sub-CSI3_ses-14_task-5000scenes_run-01_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20180207_171534_7cd74d22-9440-4ca7-bb9d-f011fb480fe5.ext	MATCHED TO sub-CSI3_ses-14_task-5000scenes_run-05_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20180207_174342_295370b9-f0fb-4137-b4a0-205af4710cb1.puls	MATCHED TO sub-CSI3_ses-14_task-5000scenes_run-08_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20180207_170626_bef9d94d-0077-4e92-b34c-8a0fc8d6acc6.resp	MATCHED TO sub-CSI3_ses-14_task-5000scenes_run-04_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20180207_175201_239476fa-4720-49cf-afc3-c0ad9fc7275e.puls	MATCHED TO sub-CSI3_ses-14_task-5000scenes_run-09_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20180207_175940_efcb9b49-df3e-4b3a-ae64-168cd0f57ce1.ext	MATCHED TO sub-CSI3_ses-14_task-localizer__recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20180207_171534_7cd74d22-9440-4ca7-bb9d-f011fb480fe5.resp	MATCHED TO sub-CSI3_ses-14_task-5000scenes_run-05_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20180207_175201_239476fa-4720-49cf-afc3-c0ad9fc7275e.ext	MATCHED TO sub-CSI3_ses-14_task-5000scenes_run-09_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20180207_173600_452d6607-9bee-4d13-8203-ab651e6c2019.ext	MATCHED TO sub-CSI3_ses-14_task-5000scenes_run-07_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20180207_170626_bef9d94d-0077-4e92-b34c-8a0fc8d6acc6.puls	MATCHED TO sub-CSI3_ses-14_task-5000scenes_run-04_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20180207_174342_295370b9-f0fb-4137-b4a0-205af4710cb1.ext	MATCHED TO sub-CSI3_ses-14_task-5000scenes_run-08_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20180207_165852_8900a5ee-da7d-48c5-bff5-b94b4db6f055.resp	MATCHED TO sub-CSI3_ses-14_task-5000scenes_run-03_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20180207_172751_e5e57b18-830b-4cd3-97d9-75fe962bc8e5.puls	MATCHED TO sub-CSI3_ses-14_task-5000scenes_run-06_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20180207_172751_e5e57b18-830b-4cd3-97d9-75fe962bc8e5.resp	MATCHED TO sub-CSI3_ses-14_task-5000scenes_run-06_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20180207_175940_efcb9b49-df3e-4b3a-ae64-168cd0f57ce1.puls	MATCHED TO sub-CSI3_ses-14_task-localizer__recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20180207_175201_239476fa-4720-49cf-afc3-c0ad9fc7275e.resp	MATCHED TO sub-CSI3_ses-14_task-5000scenes_run-09_recording-respiratory_physio	CONVERTED FILES WRITTEN
